person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,severity_cons,dur_cons,util_cons,prin_up,prin_vi,moral_int,ESA,CST,loan_status
22,59000,RENT,50,PERSONAL,D,35000,16.02,0.59,Y,3,0.35,0.5125,0.6,0,1,0.6,0.358,0.19877294,1
21,9600,OWN,5,EDUCATION,B,1000,11.14,0.1,N,2,0.010416667,0.063333333,0.025714286,1,0.285714286,0.9,-0.155666667,0.235901875,0
25,9600,MORTGAGE,1,MEDICAL,C,5500,12.87,0.57,N,3,0.3265625,0.0225,0.157142857,1,0.428571429,1,-0.260702381,0.225859269,1
23,65500,RENT,4,MEDICAL,C,35000,15.23,0.53,N,2,0.283206107,0.053333333,1,0.5,0.428571429,1,0.442124803,0.215404411,1
24,54400,RENT,8,MEDICAL,C,35000,14.27,0.55,Y,4,0.353860294,0.092,1,0,0.928571429,1,0.391277031,0.240592673,1
21,9900,OWN,2,VENTURE,A,2500,7.14,0.25,N,2,0.063131313,0.033333333,0.057142857,1,0.142857143,0.8,-0.17353343,0.22981668,1
26,77100,RENT,8,EDUCATION,B,35000,12.42,0.45,N,3,0.204280156,0.0925,0.9,0.5,0.285714286,0.9,0.408284232,0.205395562,1
24,78956,RENT,5,MEDICAL,B,35000,11.11,0.44,N,4,0.195045342,0.062,1,0.5,0.285714286,1,0.432354948,0.222262789,1
24,83000,RENT,8,PERSONAL,A,35000,8.9,0.42,N,2,0.177108434,0.093333333,0.6,0.5,0.142857143,0.6,0.308689233,0.171768121,1
21,10000,OWN,6,VENTURE,D,1600,14.74,0.16,N,3,0.0256,0.0725,0.036571429,1,0.571428571,0.8,-0.134198095,0.229175937,1
22,85000,RENT,6,VENTURE,B,35000,10.37,0.41,N,4,0.168823529,0.072,0.8,0.5,0.285714286,0.8,0.358695798,0.19444375,1
21,10000,OWN,2,HOMEIMPROVEMENT,A,4500,8.63,0.45,N,2,0.2025,0.033333333,0.064285714,1,0.142857143,0.5,-0.188603175,0.211240181,1
23,95000,RENT,2,VENTURE,A,35000,7.9,0.37,N,2,0.136315789,0.033333333,0.8,0.5,0.142857143,0.8,0.351144528,0.203929127,1
26,108160,RENT,4,EDUCATION,E,35000,18.39,0.32,N,4,0.103550296,0.052,0.9,0.5,0.714285714,0.9,0.336337222,0.213761911,1
23,115000,RENT,2,EDUCATION,A,35000,7.9,0.3,N,4,0.091304348,0.032,0.9,0.5,0.142857143,0.9,0.373452588,0.220167721,0
23,500000,MORTGAGE,7,DEBTCONSOLIDATION,B,30000,10.65,0.06,N,3,0.0036,0.0825,0.342857143,0.5,0.285714286,0.4,-0.163531429,0.157153831,0
23,120000,RENT,0,EDUCATION,A,35000,7.9,0.29,N,4,0.084583333,0.012,0.9,0.5,0.142857143,0.9,0.366326984,0.221706381,0
23,92111,RENT,7,MEDICAL,F,35000,20.25,0.32,N,4,0.121592427,0.082,1,0.5,0.857142857,1,0.372386552,0.226787773,1
23,113000,RENT,8,DEBTCONSOLIDATION,D,35000,18.25,0.31,N,4,0.096017699,0.092,0.4,0.5,0.571428571,0.4,-0.183090434,0.161089241,1
24,10800,MORTGAGE,8,EDUCATION,B,1750,10.99,0.16,N,2,0.025925926,0.093333333,0.045,1,0.285714286,0.9,-0.172945326,0.232994773,1
25,162500,RENT,2,VENTURE,A,35000,7.49,0.22,N,4,0.047384615,0.032,0.8,0.5,0.142857143,0.8,0.327073993,0.208571516,0
25,137000,RENT,9,PERSONAL,E,34800,16.77,0.25,Y,2,0.06350365,0.103333333,0.596571429,0,1,0.6,0.171575576,0.219974353,0
22,65000,RENT,4,EDUCATION,D,34000,17.58,0.52,N,4,0.272,0.052,0.874285714,0.5,0.571428571,0.9,0.385828571,0.199776892,1
24,10980,OWN,0,PERSONAL,A,1500,7.29,0.14,N,3,0.019125683,0.0125,0.025714286,1,0.142857143,0.6,-0.131862087,0.223071186,0
22,80000,RENT,3,PERSONAL,D,33950,14.54,0.42,Y,4,0.1782375,0.042,0.582,0,1,0.6,0.18193,0.217764103,1
24,67746,RENT,8,HOMEIMPROVEMENT,C,33000,12.68,0.49,N,3,0.238685679,0.0925,0.471428571,0.5,0.428571429,0.5,-0.259744752,0.150511879,1
21,11000,MORTGAGE,3,VENTURE,E,4575,17.74,0.42,Y,3,0.174681818,0.0425,0.104571429,0.5,1,0.8,-0.109800866,0.219070663,1
23,11000,OWN,0,PERSONAL,A,1400,9.32,0.13,N,3,0.016545455,0.0125,0.024,1,0.142857143,0.6,-0.130716883,0.223246325,0
24,65000,RENT,6,HOMEIMPROVEMENT,B,32500,9.99,0.5,N,3,0.25,0.0725,0.464285714,0.5,0.285714286,0.5,-0.266952381,0.151800903,1
21,11389,OTHER,5,EDUCATION,C,4000,12.84,0.35,Y,2,0.12292563,0.063333333,0.102857143,0.5,0.928571429,0.9,-0.114811914,0.220740091,1
21,11520,OWN,5,MEDICAL,B,2000,11.12,0.17,N,3,0.029513889,0.0625,0.057142857,1,0.285714286,1,-0.176917989,0.240813225,1
25,120000,RENT,2,VENTURE,A,32000,6.62,0.27,N,2,0.072,0.033333333,0.731428571,0.5,0.142857143,0.8,0.315707937,0.202666691,0
26,95000,RENT,7,HOMEIMPROVEMENT,C,31050,14.17,0.33,Y,3,0.107857895,0.0825,0.443571429,0,0.928571429,0.5,-0.134762105,0.20550921,1
25,306000,RENT,2,DEBTCONSOLIDATION,C,24250,13.85,0.08,N,3,0.006339869,0.0325,0.277142857,0.5,0.428571429,0.4,-0.121976346,0.163045462,0
26,300000,MORTGAGE,10,MEDICAL,C,7800,13.49,0.03,N,4,0.00078,0.112,0.222857143,0.5,0.428571429,1,-0.175217524,0.20745222,0
21,12000,OWN,5,EDUCATION,A,2500,7.51,0.21,N,4,0.04375,0.062,0.064285714,1,0.142857143,0.9,-0.185914286,0.235774428,1
22,48000,RENT,1,EDUCATION,E,30000,18.39,0.63,N,2,0.39375,0.023333333,0.771428571,0.5,0.714285714,0.9,0.371793651,0.195134626,1
24,64000,RENT,8,DEBTCONSOLIDATION,D,30000,14.54,0.47,Y,3,0.2203125,0.0925,0.342857143,0,1,0.4,-0.126845238,0.206518893,1
25,75000,RENT,4,HOMEIMPROVEMENT,D,30000,16.89,0.4,Y,4,0.16,0.052,0.428571429,0,1,0.5,-0.130819048,0.212113587,1
23,71500,RENT,3,DEBTCONSOLIDATION,D,30000,12,0.42,N,4,0.176223776,0.042,0.342857143,0.5,0.571428571,0.4,-0.175907293,0.159757206,1
26,62050,RENT,6,MEDICAL,E,30000,17.99,0.41,N,2,0.198227236,0.073333333,0.857142857,0.5,0.714285714,1,0.363844723,0.210388073,1
24,12000,OWN,4,VENTURE,B,2500,12.69,0.21,N,3,0.04375,0.0525,0.057142857,1,0.285714286,0.8,-0.162047619,0.226851987,1
26,300000,MORTGAGE,10,VENTURE,A,20000,7.88,0.07,N,4,0.004666667,0.112,0.457142857,0.5,0.142857143,0.8,-0.245587302,0.190412003,0
23,300000,OWN,1,EDUCATION,F,24250,19.41,0.08,Y,2,0.006466667,0.023333333,0.623571429,0,1,0.9,0.166232381,0.24152943,0
26,300000,OWN,9,HOMEIMPROVEMENT,B,10000,10.38,0.03,N,4,0.001,0.102,0.142857143,0.5,0.285714286,0.5,-0.122704762,0.163141837,0
26,300000,MORTGAGE,0,EDUCATION,D,25000,15.33,0.08,N,3,0.006666667,0.0125,0.642857143,0.5,0.571428571,0.9,0.242825397,0.207678803,0
25,300000,MORTGAGE,9,HOMEIMPROVEMENT,E,18000,16.45,0.06,N,3,0.0036,0.1025,0.257142857,0.5,0.714285714,0.5,-0.119721905,0.181331719,0
26,80690,RENT,8,PERSONAL,A,30000,7.49,0.37,N,3,0.137563515,0.0925,0.514285714,0.5,0.142857143,0.6,0.275064556,0.168962564,1
22,66300,RENT,4,MEDICAL,B,30000,12.69,0.38,N,3,0.171945701,0.0525,0.857142857,0.5,0.285714286,1,0.385566473,0.214504974,1
26,89028,RENT,0,DEBTCONSOLIDATION,A,30000,6.62,0.34,N,3,0.114570697,0.0125,0.342857143,0.5,0.142857143,0.4,-0.185885519,0.156892869,1
24,78000,RENT,4,DEBTCONSOLIDATION,D,30000,12,0.38,Y,4,0.146153846,0.052,0.342857143,0,1,0.4,-0.096269597,0.210120463,1
23,78000,RENT,7,DEBTCONSOLIDATION,F,30000,18.62,0.38,Y,3,0.146153846,0.0825,0.342857143,0,1,0.4,-0.10440293,0.208822613,1
23,92004,RENT,6,PERSONAL,C,30000,15.23,0.33,Y,3,0.107604017,0.0725,0.514285714,0,0.928571429,0.6,0.158884881,0.21063265,1
23,97000,RENT,7,VENTURE,B,30000,10.65,0.31,N,2,0.095876289,0.083333333,0.685714286,0.5,0.285714286,0.8,0.311789233,0.190700823,1
25,120000,RENT,9,EDUCATION,A,30000,7.9,0.25,N,4,0.0625,0.102,0.771428571,0.5,0.142857143,0.9,0.350152381,0.209469778,0
26,280000,RENT,4,PERSONAL,C,10000,15.96,0.04,Y,3,0.001428571,0.0525,0.171428571,0,0.928571429,0.6,-0.033809524,0.215543242,0
26,277104,RENT,0,VENTURE,B,20000,11.48,0.07,N,3,0.005052255,0.0125,0.457142857,0.5,0.285714286,0.8,-0.20772822,0.19229535,0
23,277000,OWN,3,PERSONAL,A,35000,12,0.13,N,4,0.016425993,0.042,0.6,0.5,0.142857143,0.6,0.252151693,0.183781399,0
25,128000,RENT,9,PERSONAL,A,30000,7.29,0.23,N,4,0.05390625,0.102,0.514285714,0.5,0.142857143,0.6,0.255289286,0.173269847,0
24,12000,OWN,2,VENTURE,E,1750,12,0.15,Y,3,0.021875,0.0325,0.04,0.5,1,0.8,-0.049166667,0.229912782,0
21,131000,RENT,0,VENTURE,A,30000,5.99,0.23,N,4,0.052671756,0.012,0.685714286,0.5,0.142857143,0.8,0.292674373,0.202335737,0
22,275000,OWN,6,VENTURE,B,12000,11.58,0.04,N,2,0.001745455,0.073333333,0.274285714,0.5,0.285714286,0.8,-0.174306724,0.187788613,0
26,263000,MORTGAGE,0,EDUCATION,B,10000,12,0.04,N,4,0.001520913,0.012,0.257142857,0.5,0.285714286,0.9,-0.161319862,0.20129156,1
25,221850,MORTGAGE,9,MEDICAL,D,25000,15.7,0.1,N,2,0.011268875,0.103333333,0.714285714,0.5,0.571428571,1,0.295322494,0.211893713,1
22,70000,RENT,6,EDUCATION,D,29100,15.99,0.42,N,3,0.1746,0.0725,0.748285714,0.5,0.571428571,0.9,0.331721905,0.196300065,1
22,12000,MORTGAGE,7,EDUCATION,D,1500,14.84,0.13,Y,3,0.01625,0.0825,0.038571429,0.5,1,0.9,-0.068619048,0.233865773,0
26,260000,OWN,10,HOMEIMPROVEMENT,B,28000,10.99,0.11,N,3,0.011846154,0.1125,0.4,0.5,0.285714286,0.5,-0.196968498,0.161243529,0
25,259000,MORTGAGE,9,HOMEIMPROVEMENT,D,20000,14.42,0.08,Y,2,0.006177606,0.103333333,0.285714286,0,1,0.5,-0.065393393,0.215700643,0
24,255000,MORTGAGE,9,EDUCATION,A,9600,6.99,0.04,N,2,0.001505882,0.103333333,0.246857143,0.5,0.142857143,0.9,-0.194357124,0.19984228,0
25,250000,RENT,2,MEDICAL,C,25000,13.49,0.1,N,4,0.01,0.032,0.714285714,0.5,0.428571429,1,0.287390476,0.215692067,0
25,12000,OWN,0,MEDICAL,C,3000,12,0.25,N,3,0.0625,0.0125,0.085714286,1,0.428571429,1,-0.168571429,0.239277747,1
22,56950,RENT,6,MEDICAL,A,28000,12,0.49,N,2,0.240913082,0.073333333,0.8,0.5,0.142857143,1,0.405703806,0.212800669,1
21,12000,OWN,6,EDUCATION,C,3000,13.61,0.25,Y,3,0.0625,0.0725,0.077142857,0.5,0.928571429,0.9,-0.094285714,0.224526159,1
23,65000,RENT,2,EDUCATION,A,28000,7.9,0.43,N,2,0.185230769,0.033333333,0.72,0.5,0.142857143,0.9,0.350855189,0.204612526,1
