gre_score,toefl_score,uni_rating,sop,lor,cgpa,research,accept_status,severity_cons,dur_cons,util_cons,prin_up,prin_vi,moral_int,ESA,CST,accept_status_moral
337,118,4,4.5,4.5,9.65,1,1,0.956485294,0.772,0.979836601,0.939044118,0,0.933333333,0.872009368,0.214371114,1
324,107,4,4,4.5,8.87,1,1,0.154741176,0.7096,0.910535948,0.884985294,0,0.9,0.61609939,0.222791159,1
316,104,3,3,3.5,8,1,1,0.256470588,0.48,0.865359477,0.757352941,0,0.766666667,0.549076253,0.20199083,1
322,110,3,3.5,2.5,8.67,1,1,0.1789,0.5202,0.91024183,0.753514706,0,0.733333333,0.548105664,0.207246008,1
314,103,2,2,3,8.21,0,1,0.241782353,0.19704,0.867620915,0.686132353,0,0.333333333,0.429942126,0.197700209,1
330,115,5,4.5,3,9.34,1,1,0.093470588,0.934,0.95430719,0.851147059,0,0.833333333,0.663232505,0.232166887,1
321,109,3,3,4,8.2,1,1,0.225823529,0.492,0.890816993,0.791029412,0,0.8,0.556253159,0.20783555,1
308,101,2,3,4,7.9,0,1,0.284352941,0.1896,0.845849673,0.773970588,0,0.466666667,0.451198344,0.200078905,1
302,102,1,2,1.5,8,0,0,0.289411765,0.096,0.423039216,0.597058824,1,0.233333333,-0.202018301,0.196958853,0
323,108,3,3.5,3,8.6,0,0,0.183,0.3096,0.903333333,0.7775,1,0.433333333,0.389115556,0.201247993,1
325,106,3,3.5,4,8.4,1,0,0.197058824,0.504,0.893071895,0.823970588,1,0.833333333,0.477685839,0.190134714,1
327,111,4,4,4.5,9,1,1,0.134411765,0.72,0.928921569,0.890441176,0,0.9,0.61879085,0.225398798,1
328,112,4,4,4.5,9.1,1,1,0.122117647,0.728,0.936013072,0.893676471,0,0.9,0.619795643,0.22684277,1
307,109,3,4,3,8,1,1,0.277647059,0.48,0.870424837,0.775735294,0,0.8,0.560211329,0.203590174,1
311,104,3,3.5,2,8.2,1,1,0.249941176,0.492,0.867124183,0.708676471,0,0.7,0.541778214,0.197752779,1
314,105,3,3.5,2.5,8.3,0,0,0.233470588,0.2988,0.876176471,0.738382353,1,0.4,0.386656471,0.196748691,1
317,107,3,4,3,8.7,0,1,0.188852941,0.3132,0.898006536,0.800588235,0,0.466666667,0.474729586,0.205054304,1
319,106,3,4,3,8,1,1,0.249411765,0.48,0.873856209,0.784558824,0,0.8,0.554302832,0.205475225,1
318,110,3,4,3,8.8,0,1,0.176941176,0.3168,0.910653595,0.803823529,0,0.466666667,0.476144488,0.206689451,1
303,102,3,3.5,3,8.5,0,1,0.2425,0.306,0.431862745,0.760294118,0,0.433333333,-0.356920261,0.175546057,0
312,107,3,3,2,7.9,1,1,0.275058824,0.474,0.866437908,0.676911765,0,0.666666667,0.538285403,0.19433058,1
325,114,4,3,2,8.4,0,1,0.197058824,0.4032,0.915294118,0.698970588,0,0.333333333,0.486731765,0.200121613,1
328,116,5,5,5,9.5,1,1,0.083529412,0.95,0.960457516,0.978676471,0,1,0.690023965,0.244463069,1
334,119,5,5,4.5,9.7,1,1,0.047117647,0.97,0.981339869,0.963088235,0,0.966666667,0.687302397,0.246744018,1
336,119,5,4,3.5,9.8,1,1,0.031529412,0.98,0.986633987,0.867058824,0,0.833333333,0.668874946,0.240788606,1
340,120,5,4.5,4.5,9.6,1,1,0.04,0.96,0.986666667,0.94,0,0.933333333,0.679644444,0.245006207,1
322,109,5,4.5,3.5,8.8,0,1,0.166588235,0.528,0.911797386,0.856764706,0,0.533333333,0.539577342,0.208988361,1
298,98,2,1.5,2.5,7.5,1,0,0.342647059,0.3,0.407189542,0.606617647,1,0.6,-0.296485839,0.1775115,0
295,93,1,2,2,7.2,0,0,0.375294118,0.0864,0.39377451,0.596911765,0,0.266666667,-0.297211242,0.165488468,0
310,99,2,1.5,2,7.3,0,0,0.334411765,0.1752,0.822254902,0.585441176,1,0.233333333,0.340666405,0.200523899,1
300,97,2,3,3,8.1,1,1,0.285294118,0.324,0.416781046,0.723088235,0,0.733333333,-0.390133769,0.184168888,0
